序号,系统时间,时间标识,CAN通道,传输方向,ID号,帧类型,帧格式,长度,数据
01168,="10:04:42.919",0x83CAC,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
01169,="10:04:42.919",0x83D10,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
01170,="10:04:42.919",0x83D74,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
01171,="10:04:42.949",0x83DD8,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
01172,="10:04:42.949",0x83E3C,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
01173,="10:04:42.949",0x83EA0,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
01174,="10:04:42.979",0x83F04,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
01175,="10:04:42.979",0x83F67,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
01176,="10:04:42.979",0x83FCB,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
01177,="10:04:43.009",0x8402F,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
01178,="10:04:43.009",0x84093,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
01179,="10:04:43.009",0x84105,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
01180,="10:04:43.039",0x84165,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
01181,="10:04:43.039",0x841C9,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
01182,="10:04:43.039",0x8422C,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
01183,="10:04:43.069",0x84290,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
01184,="10:04:43.069",0x842F4,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
01185,="10:04:43.069",0x84358,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
01186,="10:04:43.099",0x843BC,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
01187,="10:04:43.099",0x84420,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
01188,="10:04:43.099",0x84484,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
01189,="10:04:43.129",0x844E8,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
01190,="10:04:43.129",0x8454B,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
01191,="10:04:43.129",0x845AF,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
01192,="10:04:43.159",0x84613,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
01193,="10:04:43.159",0x84677,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
01194,="10:04:43.159",0x846DB,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
01195,="10:04:43.189",0x8473F,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
01196,="10:04:43.189",0x847A3,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
01197,="10:04:43.189",0x84807,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
01198,="10:04:43.219",0x8486A,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
01199,="10:04:43.219",0x848CE,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
01200,="10:04:43.219",0x84932,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
01201,="10:04:43.249",0x84996,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
